system,config,llm,execution,f1_serv,f1_inter,yaml_valid,total_tokens,duration_ms
AcmeAir,C3,DeepSeek,1,1.0,0.9412,1,5091,5807.445
Cargo-Tracker,C3,DeepSeek,1,0.8333,0.6957,1,6012,8544.215
DayTrader7,C3,DeepSeek,1,0.8333,0.6,1,6389,8427.959
JPetStore,C3,DeepSeek,1,1.0,0.9412,1,6120,8561.026
Jokul,C3,DeepSeek,1,1.0,0.8571,1,5053,5913.854
PetClinic,C3,DeepSeek,1,1.0,0.8571,1,4248,4468.395
TNTConcept,C3,DeepSeek,1,0.9231,0.7647,1,4600,6927.771
7ep,C3,DeepSeek,2,1.0,0.9524,1,5503,10684.392
AcmeAir,C3,DeepSeek,2,1.0,0.8889,1,5169,6163.707
Cargo-Tracker,C3,DeepSeek,2,0.9091,0.8,1,5963,8010.565
DayTrader7,C3,DeepSeek,2,0.8571,0.7692,1,6129,7011.249
JPetStore,C3,DeepSeek,2,1.0,0.0,1,6072,7812.305
Jokul,C3,DeepSeek,2,1.0,1.0,1,4870,4329.929
PetClinic,C3,DeepSeek,2,1.0,0.75,1,4293,4546.508
TNTConcept,C3,DeepSeek,2,0.9231,0.7714,1,4561,6978.063
7ep,C3,DeepSeek,3,1.0,0.8571,1,5584,6209.883
AcmeAir,C3,DeepSeek,3,1.0,0.8889,1,5352,6195.707
Cargo-Tracker,C3,DeepSeek,3,1.0,0.9565,1,5736,6626.488
DayTrader7,C3,DeepSeek,3,0.8571,0.7692,1,6123,7561.828
JPetStore,C3,DeepSeek,3,1.0,0.0,1,6135,7826.04
Jokul,C3,DeepSeek,3,1.0,1.0,1,4867,4559.981
PetClinic,C3,DeepSeek,3,1.0,0.8571,1,4254,4162.687
TNTConcept,C3,DeepSeek,3,0.9231,0.7647,1,4600,6295.127
7ep,C0,Gemini,1,1.0,0.9524,1,4944,8249.175
AcmeAir,C0,Gemini,1,1.0,0.6154,1,4440,7030.473
Cargo-Tracker,C0,Gemini,1,0.9091,0.0,1,6072,11603.988
DayTrader7,C0,Gemini,1,1.0,0.9091,1,6125,11599.45
